Brand,Chargebee Customer ID,Shopify Store,MRR,Sub Status,Sub Created,Cancellation Date,Cancel Reason,Notes
Monos,qSVPH2pemb,monostravel.myshopify.com,$0,Cancelled,2024-01-24,2025-04-01,Churn,
Maison Lavande,Fy4nNokE1E,maison-lavande.myshopify.com,$1700,Active,,,,Card expiring
DROP DEAD,D234cBv15X,`trop-dead-clothing.myshopify.com,$0,No Active Sub,,,,MRR $0
DROP RABS,d
